type,year_built,beds,baths,baths_full,baths_half,garage,lot_sqft,sqft,stories,lastSoldPrice,soldOn,listPrice,status
single_family,1951.0,4.0,4.0,3.0,1.0,1.0,5615.0,3000.0,2.0,,,750000.0,for_sale
single_family,1922.0,4.0,3.0,2.0,1.0,2.0,6566.0,2900.0,2.0,105000.0,1991-04-16,499900.0,for_sale
single_family,1947.0,4.0,2.0,2.0,,3.0,5375.0,1170.0,2.0,60000.0,2019-10-28,325600.0,for_sale
single_family,1945.0,4.0,3.0,2.0,1.0,2.0,6138.0,2511.0,2.0,170000.0,1996-05-30,620000.0,for_sale
single_family,1907.0,4.0,4.0,2.0,2.0,2.0,8476.0,2870.0,3.0,,,850000.0,for_sale
single_family,1921.0,4.0,3.0,2.0,1.0,2.0,3811.0,2800.0,2.0,350000.0,2015-03-25,599000.0,for_sale
single_family,2013.0,5.0,5.0,4.0,1.0,2.0,3125.0,4200.0,2.0,1267500.0,2015-09-03,1500000.0,for_sale
single_family,1924.0,2.0,2.0,1.0,1.0,2.0,3775.0,1637.0,2.0,,,110000.0,for_sale
single_family,1956.0,3.0,3.0,2.0,1.0,2.0,4375.0,2600.0,1.0,435000.0,2016-04-19,599990.0,for_sale
single_family,1925.0,4.0,2.0,2.0,,,3149.0,3150.0,2.0,,,399900.0,for_sale
single_family,1921.0,3.0,3.0,3.0,,2.0,6970.0,2117.0,2.0,137500.0,2014-04-01,324999.0,for_sale
single_family,1913.0,4.0,3.0,2.0,1.0,2.0,8500.0,1984.0,2.0,,,624900.0,for_sale
single_family,2000.0,4.0,5.0,3.0,2.0,2.0,,,2.0,853000.0,2003-08-04,1150000.0,for_sale
single_family,1957.0,2.0,2.0,2.0,,2.0,3750.0,1800.0,,,,249900.0,for_sale
single_family,1898.0,3.0,4.0,3.0,1.0,2.0,3125.0,,2.0,680000.0,2008-07-24,899000.0,for_sale
single_family,1963.0,4.0,4.0,4.0,,2.0,8390.0,4632.0,,875000.0,2019-05-29,1075000.0,for_sale
multi_family,1921.0,5.0,2.0,2.0,,2.0,3660.0,,,428000.0,2005-05-18,559000.0,for_sale
single_family,1925.0,5.0,4.0,3.0,1.0,2.0,8650.0,4557.0,2.0,,,1350000.0,for_sale
single_family,1929.0,5.0,4.0,3.0,1.0,2.0,9845.0,3489.0,2.0,237000.0,1997-01-15,674900.0,for_sale
single_family,2010.0,6.0,11.0,7.0,4.0,3.0,25975.0,25000.0,3.0,,,23500000.0,for_sale
multi_family,2010.0,7.0,5.0,3.0,2.0,,2900.0,,,285000.0,2007-11-26,244400.0,for_sale
condos,1997.0,3.0,2.0,1.0,1.0,,,,4.0,,,49900.0,for_sale
townhomes,1962.0,2.0,1.0,1.0,,,,1000.0,2.0,,,34900.0,for_sale
single_family,1952.0,3.0,2.0,2.0,,2.0,5924.0,1567.0,2.0,,,215000.0,for_sale
single_family,1950.0,3.0,4.0,3.0,1.0,1.0,7841.0,1904.0,2.0,500000.0,2020-08-04,825000.0,for_sale
single_family,1912.0,5.0,2.0,2.0,,2.0,3049.0,1700.0,2.0,110000.0,2022-06-06,219900.0,for_sale
single_family,1905.0,3.0,2.0,2.0,,1.0,6874.0,1360.0,2.0,74500.0,1994-06-28,249999.0,for_sale
single_family,1958.0,5.0,5.0,4.0,1.0,,11748.0,6000.0,2.0,430000.0,2022-02-01,649000.0,for_sale
single_family,1956.0,3.0,3.0,1.0,2.0,2.0,,,1.0,115000.0,1985-04-01,399900.0,for_sale
single_family,1885.0,4.0,1.0,1.0,,2.0,,1100.0,2.0,30000.0,2023-07-11,250000.0,for_sale
single_family,1896.0,4.0,2.0,1.0,1.0,1.0,3500.0,3900.0,2.0,26000.0,1983-12-08,425000.0,for_sale
single_family,1967.0,3.0,2.0,2.0,,2.0,3125.0,2200.0,2.0,,,319000.0,for_sale
single_family,2001.0,4.0,4.0,3.0,1.0,2.0,2657.0,3896.0,2.0,1550000.0,2018-06-13,1875000.0,for_sale
single_family,1925.0,4.0,2.0,1.0,1.0,2.0,4125.0,1400.0,2.0,,,339900.0,for_sale
single_family,1926.0,5.0,3.0,3.0,,2.0,3750.0,2100.0,2.0,405000.0,2011-06-30,625000.0,for_sale
single_family,1900.0,3.0,3.0,2.0,1.0,1.0,,1800.0,2.0,79000.0,2023-04-20,349900.0,for_sale
single_family,1880.0,7.0,3.0,2.0,1.0,,,2352.0,2.0,,,115000.0,for_sale
single_family,1968.0,3.0,3.0,3.0,,1.0,3485.0,2250.0,,174500.0,2001-05-30,384500.0,for_sale
single_family,,5.0,4.0,3.0,1.0,2.0,3125.0,,3.0,1250000.0,2017-06-26,1650000.0,for_sale
single_family,1966.0,3.0,3.0,2.0,1.0,2.0,,2527.0,1.0,165000.0,2001-09-27,354999.0,for_sale
single_family,1911.0,4.0,3.0,3.0,,2.0,3123.0,1680.0,2.0,475000.0,2019-08-16,620000.0,for_sale
single_family,2006.0,4.0,6.0,5.0,1.0,2.0,1664.0,4000.0,3.0,1815000.0,2006-08-14,2049000.0,for_sale
single_family,1989.0,4.0,2.0,2.0,,1.0,3750.0,1240.0,2.0,,,224900.0,for_sale
single_family,1949.0,2.0,2.0,2.0,,1.0,,1053.0,1.0,,,199900.0,for_sale
single_family,1918.0,2.0,2.0,2.0,,,,2200.0,2.0,141000.0,2021-09-07,265000.0,for_sale
single_family,1950.0,3.0,1.0,1.0,,,,1200.0,1.0,49000.0,2018-08-02,145000.0,for_sale
single_family,2013.0,4.0,4.0,3.0,1.0,2.0,3123.0,2725.0,3.0,729000.0,2019-02-04,965000.0,for_sale
multi_family,1906.0,5.0,7.0,4.0,3.0,,,,,1459000.0,2020-02-03,2699999.0,for_sale
single_family,,4.0,2.0,2.0,,2.0,3750.0,,2.0,105000.0,2018-11-28,285000.0,for_sale
single_family,1910.0,5.0,2.0,2.0,,,,1848.0,2.0,,,199999.0,for_sale
single_family,1923.0,2.0,2.0,2.0,,,,,,,,410000.0,for_sale
single_family,1886.0,3.0,2.0,2.0,,2.0,3125.0,1500.0,3.0,,,750000.0,for_sale
single_family,1905.0,2.0,1.0,1.0,,1.0,3500.0,1000.0,1.0,78000.0,2021-08-30,195000.0,for_sale
single_family,1902.0,3.0,2.0,1.0,1.0,,4182.0,1628.0,2.0,,,279900.0,for_sale
single_family,1914.0,3.0,1.0,1.0,,2.0,3780.0,2093.0,2.0,67000.0,1986-06-30,535000.0,for_sale
single_family,1918.0,4.0,2.0,2.0,,2.0,3750.0,2100.0,3.0,279000.0,1993-08-03,925000.0,for_sale
single_family,1880.0,5.0,3.0,1.0,2.0,,3180.0,1980.0,3.0,380000.0,1999-05-26,850000.0,for_sale
single_family,1957.0,3.0,1.0,1.0,,2.0,,1020.0,1.0,,,24000.0,for_sale
single_family,1925.0,4.0,1.0,1.0,,2.0,3149.0,1600.0,2.0,45000.0,2017-04-21,179900.0,for_sale
single_family,1927.0,3.0,2.0,2.0,,2.0,,1292.0,2.0,,,299900.0,for_sale
single_family,1960.0,2.0,2.0,2.0,,2.0,3093.0,893.0,1.0,115000.0,1992-08-31,275000.0,for_sale
single_family,1947.0,2.0,2.0,1.0,1.0,1.0,4373.0,1335.0,1.0,179000.0,1993-09-17,459900.0,for_sale
single_family,1890.0,4.0,2.0,2.0,,2.0,2880.0,714.0,2.0,11000.0,2013-04-18,129900.0,for_sale
single_family,1922.0,4.0,3.0,3.0,,2.0,3125.0,3125.0,2.0,212000.0,2009-10-02,529000.0,for_sale
single_family,1955.0,3.0,2.0,2.0,,2.0,3780.0,1008.0,1.0,220000.0,2019-12-09,319000.0,for_sale
single_family,1955.0,4.0,2.0,2.0,,2.0,3750.0,1319.0,,85000.0,1994-01-20,250000.0,for_sale
single_family,1924.0,4.0,3.0,3.0,,2.0,3125.0,1716.0,2.0,178000.0,2022-11-29,620000.0,for_sale
single_family,1952.0,3.0,2.0,1.0,1.0,2.0,3750.0,1060.0,1.0,268000.0,2005-07-13,335000.0,for_sale
condos,1962.0,2.0,2.0,2.0,,2.0,,1225.0,,357000.0,2005-07-28,465000.0,for_sale
single_family,1906.0,3.0,1.0,1.0,,2.0,3750.0,1127.0,2.0,183000.0,2007-02-20,190000.0,for_sale
condos,1917.0,2.0,1.0,1.0,,,,1200.0,1.0,200000.0,2016-06-03,280000.0,for_sale
multi_family,1885.0,8.0,4.0,3.0,1.0,2.0,3125.0,,,,,649900.0,for_sale
single_family,1913.0,1.0,1.0,1.0,,,,905.0,3.0,78000.0,2017-09-15,112000.0,for_sale
multi_family,1912.0,8.0,3.0,3.0,,2.0,3485.0,3850.0,,665000.0,2021-05-06,799900.0,for_sale
single_family,1961.0,2.0,1.0,1.0,,,3125.0,968.0,1.0,,,345000.0,for_sale
condos,1911.0,3.0,3.0,3.0,,1.0,,,3.0,600000.0,2019-04-30,725000.0,for_sale
single_family,2013.0,2.0,2.0,2.0,,2.0,3125.0,2200.0,2.0,452000.0,2013-07-09,599000.0,for_sale
single_family,1892.0,1.0,0.0,,,,4374.0,1300.0,1.0,75000.0,1994-09-01,450000.0,for_sale
condos,1929.0,3.0,2.0,2.0,,,,1600.0,1.0,307000.0,2021-05-14,350000.0,for_sale
multi_family,1959.0,6.0,5.0,5.0,,2.0,3485.0,,,,,549000.0,for_sale
single_family,2001.0,3.0,3.0,2.0,1.0,2.0,,2889.0,2.0,,,824000.0,for_sale
single_family,1973.0,3.0,2.0,2.0,,,6970.0,1348.0,2.0,,,199900.0,for_sale
single_family,1943.0,4.0,2.0,1.0,1.0,,3125.0,977.0,2.0,93000.0,2001-02-08,129900.0,for_sale
condos,1910.0,1.0,1.0,1.0,,,,,5.0,313000.0,2021-04-23,375000.0,for_sale
